"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Price to TTM earnings","Price to TTM sales","Price to book value","Action"
"AAPL","Apple Inc","Common stocks","Large cap","Information Technology","$2,256,654,995,840","0.64%","21.91","5.85","33.14","Analyze"
"MSFT","Microsoft Corp","Common stocks","Large cap","Information Technology","$1,709,721,711,656","1.08%","23.20","8.88","10.32","Analyze"
"GOOG","Alphabet Inc Class C","Common stocks","Large cap","Communication Services","$1,195,118,290,000","0.00%","8.11","4.42","2.38","Analyze"
"GOOGL","Alphabet Inc Class A","Common stocks","Large cap","Communication Services","$1,195,118,290,000","0.00%","7.82","4.42","2.29","Analyze"
"AMZN","Amazon.Com Inc.","Common stocks","Large cap","Consumer Discretionary","$1,158,019,356,162","0.00%","53.39","2.42","8.53","Analyze"
"TSLA","Tesla Inc","Common stocks","Large cap","Consumer Discretionary","$698,638,481,233","0.00%","80.77","11.23","19.90","Analyze"
"BRK.B","Berkshire Hathaway Inc. Class B","Common stocks","Large cap","Financials","$589,079,033,944","0.00%","4.16","1.66","0.67","Analyze"
"UNH","Unitedhealth Group Inc","Common stocks","Large cap","Health Care","$466,625,018,711","1.24%","26.79","1.58","6.42","Analyze"
"JNJ","Johnson & Johnson","Common stocks","Large cap","Health Care","$421,746,746,957","2.70%","21.58","4.45","5.73","Analyze"
"XOM","Exxon Mobil Corp","Common stocks","Large cap","Energy","$411,929,171,398","3.51%","15.84","1.34","2.41","Analyze"
"META","Meta Platforms, Inc.","Common stocks","Large cap","Communication Services","$359,895,100,000","0.00%","0.00","0.00","0.00","Analyze"
"WMT","Walmart Stores Inc","Common stocks","Large cap","Consumer Staples","$351,005,250,013","1.71%","27.71","0.61","4.68","Analyze"
"CVX","Chevron Corp","Common stocks","Large cap","Energy","$308,750,786,476","3.52%","15.06","1.75","2.11","Analyze"
"JPM","JP Morgan Chase & Co","Common stocks","Large cap","Financials","$307,890,775,226","3.78%","7.38","2.56","1.05","Analyze"
"LLY","Eli Lilly","Common stocks","Large cap","Health Care","$307,752,121,478","1.16%","50.79","10.50","33.36","Analyze"
"V","Visa Inc Class A","Common stocks","Large cap","Information Technology","$297,866,968,937","0.82%","21.37","11.06","8.14","Analyze"
"PG","Procter & Gamble","Common stocks","Large cap","Consumer Staples","$295,229,414,160","2.86%","20.30","3.71","6.52","Analyze"
"NVDA","Nvidia Corp","Common stocks","Large cap","Information Technology","$290,583,000,000","0.14%","29.58","10.80","10.84","Analyze"
"HD","Home Depot Inc","Common stocks","Large cap","Consumer Discretionary","$289,161,771,090","2.58%","17.53","1.90","-169.46","Analyze"
"MA","Mastercard Inc Class A","Common stocks","Large cap","Information Technology","$279,722,451,184","0.67%","28.90","14.06","38.99","Analyze"
"BAC","Bank of America Corp","Common stocks","Large cap","Financials","$246,360,428,507","2.75%","8.08","2.75","0.90","Analyze"
"ABBV","Abbvie Inc","Common stocks","Large cap","Health Care","$244,545,426,223","3.94%","20.05","4.31","15.37","Analyze"
"KO","Coca-Cola","Common stocks","Large cap","Consumer Staples","$235,216,580,774","3.16%","22.86","5.86","9.48","Analyze"
"PFE","Pfizer Inc","Common stocks","Large cap","Health Care","$234,315,688,026","3.76%","9.42","2.54","2.85","Analyze"
"MRK","Merck & Co Inc","Common stocks","Large cap","Health Care","$229,211,160,376","3.01%","16.27","4.25","5.64","Analyze"
"PEP","Pepsico Inc","Common stocks","Large cap","Consumer Staples","$223,296,458,179","2.72%","22.07","2.76","12.33","Analyze"
"COST","Costco Wholesale Corp","Common stocks","Large cap","Consumer Staples","$206,390,738,855","0.72%","37.90","0.98","10.76","Analyze"
"TMO","Thermo Fisher Scientific Inc","Common stocks","Large cap","Health Care","$200,141,473,348","0.23%","25.81","4.87","4.79","Analyze"
"DHR","Danaher Corp","Common stocks","Large cap","Health Care","$190,161,490,251","0.37%","29.38","6.28","3.99","Analyze"
"AVGO","Broadcom Inc.","Common stocks","Large cap","Information Technology","$177,269,137,291","3.72%","23.17","6.22","7.59","Analyze"
"ABT","Abbott Laboratories","Common stocks","Large cap","Health Care","$177,100,852,610","1.83%","23.07","3.98","5.03","Analyze"
"DIS","Walt Disney","Common stocks","Large cap","Communication Services","$173,482,178,059","0.00%","64.02","2.26","1.87","Analyze"
"MCD","Mcdonalds Corp","Common stocks","Large cap","Consumer Discretionary","$172,856,772,821","2.33%","24.52","7.27","-29.11","Analyze"
"TMUS","T Mobile US Inc","Common stocks","Large cap","Communication Services","$172,719,099,434","0.00%","61.34","2.15","2.46","Analyze"
"ACN","Accenture Plc Class A","Common stocks","Large cap","Information Technology","$171,260,950,577","1.50%","26.29","3.02","8.17","Analyze"
"ORCL","Oracle Corp","Common stocks","Large cap","Information Technology","$167,836,353,109","1.53%","22.25","4.01","-19.35","Analyze"
"CSCO","Cisco Systems Inc","Common stocks","Large cap","Information Technology","$163,901,793,822","3.75%","13.55","3.18","4.03","Analyze"
"WFC","Wells Fargo","Common stocks","Large cap","Financials","$157,221,902,148","2.39%","7.91","2.03","0.85","Analyze"
"VZ","Verizon Communications Inc","Common stocks","Large cap","Communication Services","$153,793,551,435","6.87%","7.05","1.15","1.80","Analyze"
"COP","ConocoPhillips","Common stocks","Large cap","Energy","$151,074,907,090","3.73%","11.63","2.81","3.04","Analyze"
"NEE","Nextera Energy Inc","Common stocks","Large cap","Utilities","$150,777,154,503","2.15%","102.60","9.29","4.16","Analyze"
"BMY","Bristol Myers Squibb","Common stocks","Large cap","Health Care","$146,222,273,220","3.12%","23.79","3.11","4.71","Analyze"
"CRM","Salesforce.Com Inc","Common stocks","Large cap","Information Technology","$145,640,000,000","0.00%","98.73","5.50","2.45","Analyze"
"TXN","Texas Instrument Inc","Common stocks","Large cap","Information Technology","$143,260,177,758","2.90%","17.08","7.56","10.00","Analyze"
"LIN","Linde Plc","Common stocks","Large cap","Materials","$135,470,717,786","1.67%","33.60","4.27","3.14","Analyze"
"MS","Morgan Stanley","Common stocks","Large cap","Financials","$134,616,350,732","3.62%","9.36","2.42","1.28","Analyze"
"SCHW","Charles Schwab Corporation","Common stocks","Large cap","Financials","$133,716,936,276","1.08%","24.83","7.24","2.71","Analyze"
"ADBE","Adobe Inc","Common stocks","Large cap","Information Technology","$132,831,228,000","0.00%","27.43","8.23","9.61","Analyze"
"PM","Philip Morris International Inc","Common stocks","Large cap","Consumer Staples","$130,213,719,552","5.86%","14.74","4.13","-13.14","Analyze"
"QCOM","Qualcomm Inc","Common stocks","Large cap","Information Technology","$128,695,800,000","2.48%","11.07","3.28","9.27","Analyze"
"CMCSA","Comcast A Corp","Common stocks","Large cap","Communication Services","$128,282,518,637","3.61%","8.78","1.07","1.33","Analyze"
"AMGN","Amgen Inc","Common stocks","Large cap","Health Care","$124,184,196,828","3.23%","22.94","4.72","143.33","Analyze"
"RTX","Raytheon Technologies Corporation","Common stocks","Large cap","Industrials","$123,863,320,506","2.50%","29.68","1.91","1.72","Analyze"
"UNP","Union Pacific Corp","Common stocks","Large cap","Industrials","$121,180,071,166","2.54%","17.66","5.35","10.11","Analyze"
"LOW","Lowes Companies Inc","Common stocks","Large cap","Consumer Discretionary","$120,974,540,508","1.76%","14.48","1.27","-17.73","Analyze"
"UPS","United Parcel Service Inc Class B","Common stocks","Large cap","Industrials","$116,532,849,579","3.46%","10.81","1.18","7.54","Analyze"
"CVS","CVS Health Corp","Common stocks","Large cap","Health Care","$115,857,142,218","2.42%","14.53","0.39","1.57","Analyze"
"HON","Honeywell International Inc","Common stocks","Large cap","Industrials","$115,800,972,369","2.26%","22.28","3.37","6.37","Analyze"
"ELV","Elevance Health, Inc.","Common stocks","Large cap","Health Care","$112,116,324,202","1.06%","0.00","0.00","0.00","Analyze"
"NKE","Nike Inc Class B","Common stocks","Large cap","Consumer Discretionary","$109,546,048,489","1.40%","18.18","2.34","7.51","Analyze"
"INTU","Intuit Inc","Common stocks","Large cap","Information Technology","$109,264,039,896","0.73%","49.77","9.57","6.93","Analyze"
"MDT","Medtronic Plc","Common stocks","Large cap","Health Care","$108,777,905,172","3.17%","22.15","3.42","2.07","Analyze"
"LMT","Lockheed Martin Corp","Common stocks","Large cap","Industrials","$108,709,757,448","2.71%","17.55","1.65","10.90","Analyze"
