Co_ID,Exchange,Name,"Root
Ticker"," Market Cap (C$)
31-March-2022 "," O/S Shares
31-March-2022 ",Sector,"Sub
Sector","HQ
Location","HQ
Region",Listing Type,Listing Date,Interlisted I,Interlisted II,"Trading 
on OTC","TSX 
Venture 
Grad","Former
CPC",S&P/TSX Index,Clean Technology Primary Industry,Clean Technology Sub-Sector,"Consumer Products & Services
Sub-Sector",Life Sciences Sub-Sector,Real Estate Sub-Sector ,Technology Sub-Sector ,USA City,USA State,Asia Region,Israel Related,Fund Family,SP_Type,SP_Sub," Volume YTD
31-March-2022 "," Value (C$) YTD
31-March-2022 "," Number of 
Trades YTD
31-March-2022 "," Number of
Months of 
Trading Data ",AFRICA,AUS/NZ/PNG,CANADA,ASIA,LATIN AMERICA,OTHER,UK/EUROPE,USA,Oil and Gas,Gold,Silver,Copper,Nickel,Diamond,Molybdenum,Platinum/PGM,Iron,Lead,Zinc,Rare Earths,Potash,Lithium,Uranium,Coal,Tungsten,Base & Precious Metals,Mineral Properties (General),Other Properties
IQC0001,TSX,3iQ CoinShares Bitcoin ETF,BTCQ," 995,179,163 "," 130,600,940 ", ETP ,Blockchain/Cryptocurrency,ON,Canada,IPO,20210419,,,,,,,,,,,,,,,,,3iQ,Exchange Traded Funds,," 3,899,427 "," 31,853,207 "," 7,738 ", 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IQC0002,TSX,3iQ CoinShares Ether ETF,ETHQ," 288,174,500 "," 21,050,000 ", ETP ,Blockchain/Cryptocurrency,ON,Canada,IPO,20210423,,,,,,,,,,,,,,,,,3iQ,Exchange Traded Funds,," 1,929,710 "," 27,414,780 "," 6,500 ", 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIV0003,TSX,5N Plus Inc.,VNP," 211,992,566 "," 88,330,236 ", Clean Technology ,,Quebec,Canada,IPO,20071219,,,,,,,Industrial Products & Services,Renewable Energy Equipment Manufacturing and Tech,,,,,,,,,,,," 5,232,665 "," 11,801,182 "," 14,378 ", 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAW0001,TSX,A&W Revenue Royalties Income Fund,AW," 650,197,800 "," 15,030,000 ", Consumer Products & Services ,,BC,Canada,,20020214,,,,,,,,,Consumer Discretionary,,,,,,,,,Income Trust,Business Trust," 1,015,887 "," 40,092,833 "," 7,159 ", 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABC0002,TSX,ABC Technologies Holdings Inc.,ABCT," 768,607,851 "," 115,580,128 ", Industrial Products & Services ,,ON,Canada,IPO,20210222,,,,,,,,,,,,,,,,,,,," 1,324,694 "," 2,900,548 "," 1,934 ", 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABE0005,TSX,Aberdeen International Inc.,AAB," 15,761,012 "," 137,052,282 ", Financial Services ,,ON,Canada,TSXV Grad,20080130,,,,Y,,,,,,,,,,,,,,,," 5,282,618 "," 720,516 ", 988 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIR0005,TSX,abrdn Asia-Pacific Income Fund VCC,FAP," 141,577,479 "," 50,744,616 ", Closed-End Funds ,,PA,USA,,19860611,,,,,,,,,,,,,Philadelphia,PA,,,Aberdeen,Fund of Debt,FI Trust," 4,669,127 "," 13,978,469 "," 6,738 ", 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABS0003,TSX,Absolute Software Corporation,ABST," 535,215,015 "," 50,731,281 ", Technology ,,BC,Canada,TSXV Grad,20051202,NasdaqGM,,,Y,,,,,,,,Software,,,,,,,," 16,640,334 "," 176,962,302 "," 104,242 ", 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACA0004,TSX,Acadian Timber Corp.,ADN," 317,885,750 "," 16,686,916 ", Industrial Products & Services ,Forest Products & Paper,BC,Canada,IPO,20060130,,,,,,,,,,,,,,,,,,,," 571,720 "," 10,869,972 "," 3,313 ", 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACC0007,TSX,Accelerate Absolute Return Hedge Fund,HDGE," 7,021,000 "," 350,000 ", ETP ,,AB,Canada,IPO,20190510,,,,,,,,,,,,,,,,,Accelerate,Exchange Traded Funds,," 44,438 "," 904,504 ", 156 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACC0010,TSX,Accelerate Arbitrage Fund,ARB," 38,149,500 "," 1,450,000 ", ETP ,,AB,Canada,IPO,20200407,,,,,,,,,,,,,,,,,Accelerate,Exchange Traded Funds,," 295,391 "," 7,809,954 ", 329 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACC0012,TSX,Accelerate Carbon-Negative Bitcoin ETF,ABTC," 3,808,000 "," 850,000 ", ETP ,Blockchain/Cryptocurrency,AB,Canada,IPO,20210830,,,,,,,,,,,,,,,,,Accelerate,Exchange Traded Funds,," 331,166 "," 1,181,303 ", 584 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACC0008,TSX,Accelerate Enhanced Canadian Benchmark Alternative Fund,ATSX," 3,265,000 "," 125,000 ", ETP ,,AB,Canada,IPO,20190510,,,,,,,,,,,,,,,,,Accelerate,Exchange Traded Funds,," 14,960 "," 383,026 ", 92 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACC0011,TSX,Accelerate OneChoice Alternative Portfolio ETF,ONEC," 24,516,800 "," 1,120,000 ", ETP ,,AB,Canada,IPO,20210127,,,,,,,,,,,,,,,,,Accelerate,Exchange Traded Funds,," 248,598 "," 5,424,206 ", 234 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACC0002,TSX,Accord Financial Corp.,ACD," 95,825,105 "," 8,765,413 ", Financial Services ,,ON,Canada,,19920617,,,,,,,,,,,,,,,,,,,," 229,846 "," 2,420,007 ", 734 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRI0056,TSX,Acerus Pharmaceuticals Corporation,ASP," 69,191,464 "," 1,537,588,081 ", Life Sciences ,,ON,Canada,TSXV Grad,20110719,,,OTCQB,Y,Y,,,,,Pharmaceuticals,,,,,,,,,," 7,168,075 "," 291,002 "," 1,339 ", 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACL0001,TSX,Aclara Resources Inc.,ARA," 118,697,388 "," 162,599,162 ", Mining ,,Chile,Latin America,IPO,20211210,,,,,,,,,,,,,,,,,,,," 11,534,429 "," 13,366,425 "," 23,284 ", 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
